CV Accuracy, Train Accuracy, Test Accuracy
0.226996047431 , 0.19 , 0.16
0.229355876322 , 0.23 , 0.16
0.247041357335 , 0.26 , 0.26
0.227708116878 , 0.24 , 0.14
0.141057716756 , 0.135 , 0.08
0.203299156983 , 0.23 , 0.12
0.24275492119 , 0.24 , 0.1
0.159908293461 , 0.155 , 0.08
0.144736719249 , 0.14 , 0.08
0.201094577488 , 0.225 , 0.08
0.218961352657 , 0.22 , 0.12
0.199859350577 , 0.22 , 0.24
0.234553183315 , 0.24 , 0.16
0.218540960244 , 0.225 , 0.12
0.199248149194 , 0.22 , 0.16
0.168211152882 , 0.165 , 0.04
0.211206179441 , 0.22 , 0.1
0.188525252525 , 0.22 , 0.14
0.149859022556 , 0.15 , 0.16
0.12460822773 , 0.135 , 0.08
0.239617928511 , 0.315 , 0.28
0.139739261837 , 0.135 , 0.08
0.204846910056 , 0.215 , 0.12
0.188614656847 , 0.22 , 0.16
0.213101600976 , 0.23 , 0.1
0.257901078745 , 0.235 , 0.14
0.210309463498 , 0.225 , 0.12
0.231522519534 , 0.245 , 0.16
0.153295096716 , 0.145 , 0.12
0.255167043102 , 0.3 , 0.24
0.122196524064 , 0.14 , 0.14
0.182403743316 , 0.17 , 0.06
0.196917483102 , 0.23 , 0.12
0.1999095565 , 0.215 , 0.18
0.262189620908 , 0.31 , 0.2
0.189380867499 , 0.26 , 0.22
0.218335529205 , 0.23 , 0.06
0.218446210223 , 0.225 , 0.14
0.211409774436 , 0.225 , 0.16
0.189555352284 , 0.23 , 0.18
0.207031538293 , 0.225 , 0.12
0.213165869219 , 0.215 , 0.14
0.210073361881 , 0.22 , 0.14
0.19546978059 , 0.195 , 0.18
0.164637958533 , 0.16 , 0.08
0.185754830918 , 0.15 , 0.2
0.209899930987 , 0.205 , 0.1
0.16352085748 , 0.13 , 0.06
0.183142895976 , 0.23 , 0.12
0.234167710944 , 0.175 , 0.04
